MessageNumber,Timestamp,TotalLatencyMs,DNSLookupMs,MetadataCheckMs,SerializeMs,MessagePrepMs,NetworkRTTMs,BrokerInternalMs,NetworkSendMs,EventType,EventID
1,2026-01-09T16:02:15.468509+03:00,1353.293,2.122,659.154,0.224,0.003,48.448,594.889,643.337,logout,evt_wx5rxooq_1767963734776532000
2,2026-01-09T16:02:17.290234+03:00,144.074,2.952,0.015,0.272,0.011,38.985,62.850,101.835,purchase,evt_eyoy70ed_1767963737149157000
3,2026-01-09T16:02:19.944621+03:00,1090.324,2.852,0.005,0.082,0.007,35.376,1016.610,1051.986,form_submit,evt_r9t5qwml_1767963738857186000
4,2026-01-09T16:02:21.992989+03:00,131.513,6.622,0.006,0.042,0.006,38.629,47.574,86.203,signup,evt_vr1obgs1_1767963741868078000
5,2026-01-09T16:02:23.574301+03:00,116.827,3.176,0.004,0.072,0.015,31.979,49.597,81.576,add_to_cart,evt_j5ynniop_1767963743460616000
6,2026-01-09T16:02:25.453892+03:00,125.688,3.347,0.004,0.064,0.006,37.858,46.544,84.402,search,evt_icf25jvz_1767963745331524000
7,2026-01-09T16:02:27.983539+03:00,937.426,3.295,0.005,0.122,0.007,279.989,374.014,654.003,scroll,evt_m6igt4tt_1767963747049398000
8,2026-01-09T16:02:29.669046+03:00,114.838,1.300,0.002,0.087,0.003,22.772,67.898,90.670,form_submit,evt_iraqap4y_1767963749555480000
9,2026-01-09T16:02:31.0546+03:00,109.183,4.503,0.002,0.065,0.003,25.712,53.180,78.892,click,evt_3ww471lt_1767963750949873000
10,2026-01-09T16:02:32.474757+03:00,116.795,3.041,0.041,0.054,0.004,24.355,64.937,89.292,scroll,evt_hbh92qqr_1767963752360975000
11,2026-01-09T16:02:33.807214+03:00,113.842,2.410,0.010,0.044,0.005,29.925,51.517,81.442,form_submit,evt_kgkuynhh_1767963753695750000
12,2026-01-09T16:02:35.223891+03:00,142.042,3.779,0.008,0.062,0.032,45.203,47.750,92.953,add_to_cart,evt_0gf7seqj_1767963755085603000
13,2026-01-09T16:02:37.234826+03:00,129.530,2.373,0.015,0.118,0.012,34.884,57.238,92.122,click,evt_2ephfj3t_1767963757107616000
14,2026-01-09T16:02:39.230296+03:00,125.267,1.804,0.004,0.060,0.004,39.950,43.491,83.441,logout,evt_496bz4vw_1767963759106792000
15,2026-01-09T16:02:41.155134+03:00,115.524,2.582,0.008,0.059,0.003,25.200,62.466,87.666,signup,evt_ugtfnloz_1767963761042147000
16,2026-01-09T16:02:43.134841+03:00,109.368,2.265,0.021,0.137,0.015,26.843,53.241,80.084,logout,evt_8aq7tuo7_1767963763027722000
17,2026-01-09T16:02:45.093226+03:00,133.585,3.218,0.006,0.129,0.009,40.521,49.175,89.696,form_submit,evt_80qjs4fw_1767963764962771000
18,2026-01-09T16:02:46.763477+03:00,104.904,2.516,0.007,0.080,0.005,28.114,46.061,74.175,purchase,evt_erzv6edp_1767963766661001000
19,2026-01-09T16:02:47.936591+03:00,116.734,2.710,0.003,0.040,0.004,32.087,49.798,81.885,page_view,evt_dqklr4ln_1767963767822538000
20,2026-01-09T16:02:49.294548+03:00,114.869,3.146,0.044,0.356,0.036,31.945,47.393,79.338,page_view,evt_b05ahre4_1767963769182902000
21,2026-01-09T16:02:51.315889+03:00,146.749,1.979,0.015,0.059,0.006,37.016,70.654,107.670,page_view,evt_gmlnx1ek_1767963771171035000
